,Company Name,Location,Expected Salary,Job Title,Description About the Job,Link,Date Posted/Active
0,,,,,,,
1,NHS Professionals,"Mumbai, Maharashtra","?23,39,355 - ?27,29,353 a year",NHS Mental Health Nurse - Relocate to the UK,"
At least 10 months paid experience as a qualified Mental Health Nurse.
As a Mental Health Nurse, you will be responsible for providing a safe, effective,…
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AfYhLah8oii6eBnXe1rfhnSYhmTJWHmb9Wi_3hAOe4r-0Lhp09GSLedHOD-6UIfauA5zV4zFJ1g7J5E5U1_WWBkaZ9ByN5fb0-YL_mbJuhlsXGY_6sKDobYzL5UVirQ6J9ckcXSVvij9S0SnYpPHd-zLEzVlaI_kKbGnBQ9EDrJkkgD5KHDqpttxPcdOKSqFuQ2IFfBlxEnR3sJvVqwkM9B2MldOGb7jeHR_7QYrx2NYxI6Hkk4LLTAGU-6NwVYossVHxfZo0aG_sEetmajbxtOFShVDBT7PL3fXudhsgskyxuQNMI4ZS1iTb-1ENawZWkJD4iEVt_DSnuaVxng7Sk6k6r5M_NG7lxslt3Bf-FGRIpdux8mAqswup7ivmvMmfGDIN7MHqVNwzSW5Sd1COuFpbvsICJ3H-IdZcfPY-iEnNGgAOipyWlvHAYm2NqVvVREsrrJgCvkXQZYxWy1T2vtGBXtE3xk5HPHApduSIxLQHNyHF01kAXh1uJzyRHXKooUA9Reqi8S4sGuGEexJyNXFFTRWDU1QZ-cuibGiJRPFc5oVrJmHeNQ7Vcl5siyFxsSLte4XJLuzBwTsja_aUkJDh5NEEoaZlkufMqHiC1kPLN2S8kSD2w2DiYDhheN2U=&xkcb=SoA7-_M3Tv84fA7e7h0JbzkdCdPP&p=0&fvj=1&vjs=3,Hiring ongoing
2,INTIME FIRE,"Mumbai, Maharashtra",N/A,Tendering Executive(Andheri West),"
Follow up with clients for tender queries/EMD's/rejections.
Handling Enquiries, Quotation & preparing Documentations.
Co Ordination with office and Factory.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Adz9SW97NbEo7W2bRY07E4K9N38_uhQ5hz9Qso8kl9uIGB52-oQhI3AnEqYhyzoQ8YzKT5fx7ZxoKW4lJ3b7aZ52tRQMpbYW7dGv8xTox4jXoZ_P1gExh1VdahJuzj42iS1WkVmQ_GBQm_uHDe9XgyEHJPKwe9sBG99daxsV3kcOpHihLrG_89HBw0UNFdCti0LE-rr1xSjpLe-Xw5lujcgfWUcYIigHePcQsB8tqe0Y0zjp66I6TtBMZs-PGeZ0e7QXRQfEVTB-ug_pbMtPEGmeIjDuxM9hUyRj3tVVNKo0jyTLlGKh5kyEOmy2ZtVyj4J7S7ZjZSrrr3_NHsEF4Mo3OdZ4tkf6qcTbpWwF7b9tp6Etwsy9U--W2duDN9MTpONwtbP69rgm22qsbHtwQ8PT6ruVzCFAltGuvwzVsKbSUU-IiuQnFO-2O0_LPKwVdslaLc9oImmUfx8zD8GjFAtrjXkjEQGhZgkyeWzCPvY5XScdx3mYJV7PvCfRbzaUT1Somwga2P6JPf7goRoyqN&xkcb=SoDW-_M3Tv84fDbe7h0IbzkdCdPP&p=2&fvj=1&vjs=3,PostedPosted 18 days ago
3,Zepto,"Mumbai, Maharashtra","?25,000 - ?45,000 a month",Delivery Executive (Mumbai),"
You can earn upto Rs.45,000/- in a month with weekly payouts.
Zepto will provide you with a Free Pedal cycle and Electric cycles if you do not have your own…
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjZWarPYeCvTt9rhVMRQScs1au-7PEuNOqt92DZfoHxK-kbHuUfWne-inayp_QDa186Lc2SyedzCsh3Ip7ogOM2KWfXBqr0T7S-z3_kb6tPJhw5dMTKiu815OzsR1VSh6k09419mpzVBBWBXY2Jcy1k5S5Xvsw1LvtvFwpJf7VvNY_spy9mffm9RtyE5XI42SBqjphDDqsq1TJd8GKU5LhNPt1M2a6z1ZmG3JTadEawum2L0QCLCLOo3r5lOqP5-0Vt8vYvMzSJkKknFgZIZfoC3XHYxpcHT3lQseDPQCQSMG-_bmGuReHcJW7bfRkJ-YiOcYSzrbJ5lYHxDNo60z-G8g3PCVkH5rSPyF7n4ArlnMeYWZd1qlBslEXF_SvkR--jQnZz6LPYk_Qhor4cfYlcuVqap5zNP1Z4SUD355WUypCX4ZUi50OPlZPljyKIGnWJU8McFVTuqjIiuFhYVI9NEDZqGHyFWmvRhV5Jj_mRdtzRIFSuUytARiXHGTblev0VIOLLSzPUP6MOQs76Q6bm1LVDlj3qNAlYkxvlzsWiSMPRjWj5-jcY-PGKMEHsqOqGJ9KrwKhiQ==&xkcb=SoBY-_M3Tv84fDbe7h0PbzkdCdPP&p=3&fvj=1&vjs=3,Hiring ongoing
4,Unique Speciality Chemicals,"Mumbai, Maharashtra","?12,105 - ?49,211 a month",Sales & Marketing of Chemicals,"
Technical Sales representative with knowledge background and experience in Chemical & related industry to promote and sell products, troubleshoot issues with…
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A5azLA0gKIhW4S6hp-JjrmtbaUiRXYNhllfkO1i_sYs5IlWYVmrwnU8sFEFXck1usyTzpkS6GH26s9o7hWQ9BJRmzZlF1ue601LSSMS1QOdCOfRk9eUAvRg4vhHGtpP9RlqOdQAOWxqxnglxoXTZgD55tXcq4NUBgOaX3w4mkPUyQQW4U-YcrRWTWMWCTkAHJ4pUQuPSrQg59NhaIAismRmrLeGehHQ7EpbA-N7GYCb50L4-AXKneXGrJh_aKevM6GiHJaIaUaOFtWOJ1R4JSQH2hBnoY28nr77rfrJPjGSNw_ywlH6U6Fgn6mvhnkhLf4VTNj7O78Q-z4VmhY0qZgGFFkHhzYhbajqo6f2ULHLq1v4yWX7SyBOGByr_TUOKQFeJeRK9cNWAiZm6k-J-A1gCdywgwYoUXLcQDkX5GPbbupoKSLq38rFL4iOYIW-lit70E-pjJsoR5pDFLwkKAh6La2vlWcji9XNdSe6AwqkW_1niq3fMaSVi0peTPcyUQzRXutE35QaA==&xkcb=SoCA-_M3Tv84fD7e7h0MbzkdCdPP&p=8&fvj=1&vjs=3,PostedPosted 15 days ago
5,Nepenthe Coffee and Chocolates Pvt Ltd,"Mumbai, Maharashtra","?15,000 - ?20,000 a month",QA/QC Executive,"
Timing: 8.30am-6.00pm (reporting 5-10 min earlier) Days: Monday - Sunday (with Comp Off as per the roster).
The job is physically demanding, and the candidate…
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtHI2i3xCY-hH1gSvaw2W4iNXyY_4wY5OJJtBAXOWLyvo6DmTT6msehqU0Y8oHI_uCRfGjOKLAVNaqEmXJw-gv_ler1s93Rm4LkeSymnOwh1mUKsrDQ0NU2Cv5c9LoMAWA9L7MPGSnmT-rxfno02g2EuRuuqcVhgjSvtwmfpt5GWr9HMXP_GWwaVH6pRIhBGfLhJBV3nPsuIKjBFcsq7rGHpFwFZc9pwlJeS3Nl5BJSWyrLXo9hW-bgMMfDmwC0sNILsjP_CiDiPrPtDzwGMZSW_mByXABerULaMmhwgqD4XjB7TrkVL_jkcW3uw-12i2PXHTE1qhnHEH894XyfeBMb3U7BjxHoCNAw5syUZoH33WVIS7COk6pPSWHJej9qoYwj6JbMV-Gcp_eqCfMAlVpEVxhDdPj-pUgDtlrO1D7XNpmr8pKgyJskiHwyHaA2TDVz3-MyoJT8H7e6dDi9O7h670C34Ocrg0HSKEPwRqL2sv6aD5gMYgE&xkcb=SoB6-_M3Tv84fCbe7h0AbzkdCdPP&p=14&fvj=1&vjs=3,EmployerActive 15 days ago
6,Admin Bright LLP,"Andheri, Mumbai, Maharashtra","Up to ?6,00,000 a year",Visa Officer,"
Work experience working in a similar role within the migration industry (preferable).
An energetic and creative personality, with a 'can-do' attitude.
",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZnh-sCYYylYDXuh1dPKzthidhASg1-YWCq3XZyb-wThq5nb91RxKVCKHSQsgBXP5KyOMiPTdqiBxAtO5VzSZrw5LGstQ31oHRsatyUDeztgDMZHWQ1DcN-jsVP-9GueOTgSdIDdo6Ka7HoAzs53DDpTj2d_qktrzMdE5a05ZgfcyqBH3-C-51JOlwty9dGUW1dAxbWiSbmos129ZTTyZGjkQ-yWo1jaI664nANvriQfnHr4xGY8Tb74WFyCdFZ1O0svila8lJU3mt1TL4VvFW143JiZWjEfsXrySMG3ZCdO9eUqnruEpyw5scKbB3ZDVjhQjRUULW-ntpOlJkhHVFbqle2huDvsyKBNgmIEDONortSrfIrwPtKTEWhmUqIwwyBQIrZzNTo2YFj7r8LIIktfyKyaSORowwOhJgVq_QkQsQGNX27qxT8ZLrURohnM48lE_d9V4rwIUGlcViVF7q4wnFBH4Jjlk2JFaK0q3rTzXJ07ndg7oc&xkcb=SoCC-_M3Tv83CjxZZx0LbzkdCdPP&p=1&fvj=1&vjs=3,PostedPosted 30+ days ago
7,farawayventures,"Andheri, Mumbai, Maharashtra","?25,000 - ?30,000 a month",email and chat process,"
Any graduate or undergraduate can apply.
Candidates Should Be Flexible To Work In Rotational Shifts.
Job Types: Full-time, Regular / Permanent.
",https://in.indeed.com/company/farawayventures/jobs/Email-Chat-Process-e2740d21a0080fe0?fccid=9724d331c17a5fd0&vjs=3,PostedPosted 1 day ago
8,ENTITLED SOLUTION,"Remote in Mumbai, Maharashtra","?10,000 - ?12,000 a month",Document verification,"
Marking entries in Google sheets and in official software.
Adding complete details of all the documents correctly.
Experience at least 0-6 Months.
",https://in.indeed.com/company/ENTITLED-SOLUTION/jobs/Document-Verification-589fff32a00ec539?fccid=5277cdc82d38c247&vjs=3,PostedPosted 1 day ago
9,KEPIO ENGINEERING SERVICES PVT.LTD.,"Remote in Mumbai, Maharashtra","?26,500 - ?28,200 a month",Voice Process,"
Shift : Australian Shift (2am/4am/7am).
Salary – 26500K for Fresher / 28200K for 6 month Exp.
Contract : 6 months ( Extension possible).
",https://in.indeed.com/company/KEPIO-ENGINEERING-SERVICES-PVT.LTD./jobs/Voice-Process-7be0726aa8fb0c8d?fccid=4f1ae031e79937cf&vjs=3,PostedPosted 1 day ago
